,X,Y,OBJECTID,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,facility_type,station_name,station_phone,updated_at,geocode_status,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_max_biodiesel_level,nps_unit_name,Source
132,236529.458099999,900862.093899999,133,private,Fleet use only,,,2021-02-22,,ELEC,Private,98675.0,,2018-04-01,FG,,E,FED_GOV,Environmental Protection Agency,,2021-03-11T23:22:17Z,GPS,Boston,US,,,MA,5 Post Office Square,2109.0,,,,,,,,,,,,"[""J1772""]",,,2.0,Non-Networked,,,,,0.0,,,,,,,,,,,,,,,,,AFDC
1250,232136.651199996,897496.9767,1251,private,Accepts fleet card,GOVERNMENT,,2024-01-10,,ELEC,Private - Government only,184318.0,,2021-01-15,FG,,E,FED_GOV,VISN 1 / Boston HCS / Jamaica Plain,,2024-01-31T22:07:01Z,GPS,Boston,US,,,MA,150 S Huntington Ave,2130.0,,,,,,,,,,,,"[""J1772""]",,,1.0,Non-Networked,,,$0.13 per kWh,,0.0,,,,,,,,,,,,,,,,,AFDC
1254,236529.458099999,900862.093899999,1255,private,,GOVERNMENT,,2024-01-10,,ELEC,Private - Government only,184419.0,,2021-01-15,FG,,E,FED_GOV,EPA Boston,,2024-01-31T22:07:01Z,GPS,Boston,US,,,MA,5 Post Office Sq,2109.0,,,,,,,,,,,,"[""J1772""]",,,2.0,Non-Networked,,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3125,237766.933899999,896521.7097,3126,public,24 hours daily,,,2024-02-12,,ELEC,Public,325209.0,LD,,SG,0,E,COLLEGE_CAMPUS,UMass Boston West Garage,,2024-02-12T21:24:44Z,GPS,Boston,US,West Garage,,MA,University Dr W,2125.0,,,,,,,,,,,,"[""J1772""]",,,11.0,Non-Networked,,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3130,239006.946199998,901250.812800001,3131,public,24 hours daily; drivers must obtain approval prior to charging,,,2024-02-12,,ELEC,Public,325214.0,LD,,SG,-1,E,PARKING_LOT,MassPort Taxipool Lot,,2024-02-12T21:24:44Z,GPS,Boston,US,Taxipool Lot,,MA,48 Porter St,2128.0,,,,,,,,,,,,"[""CHADEMO""]",4.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3138,233211.688699998,898422.8039,3139,public,24 hours daily,,,2024-02-12,,ELEC,Public,325222.0,LD,,SG,0,E,COLLEGE_CAMPUS,Mass College of Art & Design Ward St Parking,,2024-02-12T21:24:44Z,200-8,Boston,US,Ward St Parking area,,MA,135 Ward St,2115.0,,,,,,,,,,,,"[""J1772""]",,6.0,,Non-Networked,,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3145,236062.634499997,901093.8354,3146,public,24 hours daily,,,2024-02-12,,ELEC,Public,325229.0,LD,,SG,0,E,OFFICE_BLDG,DCAMM McCormack Building,,2024-02-12T21:24:44Z,200-8,Boston,US,,,MA,1 Ashburton Pl,2108.0,,,,,,,,,,,,"[""J1772""]",,,6.0,Non-Networked,,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3162,233267.354900002,897631.085900001,3163,public,24 hours daily,,,2024-02-12,,ELEC,Public,325246.0,LD,,SG,0,E,COLLEGE_CAMPUS,Roxbury Community College Solar Canopy Lot,,2024-02-12T21:24:44Z,200-8,Boston,US,Lot under solar canopy,,MA,1234 Columbus Ave,2120.0,,,,,,,,,,,,"[""J1772""]",,,6.0,Non-Networked,,,,SOLAR,0.0,,,,,,,,,,,,,,,,,AFDC
3165,237441.350699998,899612.599399999,3166,public,Garage hours,,,2024-02-12,,ELEC,Public,325249.0,LD,,SG,0,E,CONVENTION_CENTER,Boston Convention and Exhibition Center Garage,,2024-02-12T21:24:44Z,200-8,Boston,US,"On entrance level, near center of garage",,MA,415 Summer St,2210.0,,,,,,,,,,,,"[""J1772""]",,,4.0,Non-Networked,,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3166,238769.712899998,902283.4615,3167,public,24 hours daily; drivers must obtain approval prior to charging,,,2024-02-12,,ELEC,Public,325250.0,LD,2019-01-01,SG,-1,E,PARKING_LOT,MassPort TNC Lot (Ride App Staging Lot),,2024-02-12T21:24:44Z,GPS,Boston,US,TNC Lot (Ride App Staging Lot),,MA,1 Harborside Dr,2129.0,,,,,,,,,,,,"[""CHADEMO"",""J1772COMBO""]",16.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3167,239021.853100002,901770.974100001,3168,public,24 hours daily; drivers must obtain approval prior to charging,,,2024-02-12,,ELEC,Public,325251.0,LD,2019-01-01,SG,-1,E,PARKING_LOT,MassPort Limo Pool Lot,,2024-02-12T21:24:44Z,GPS,Boston,US,,,MA,1 Harborside Dr,2128.0,,,,,,,,,,,,"[""J1772""]",,,4.0,ChargePoint Network,http://www.chargepoint.com/,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3168,239053.921800002,901407.4824,3169,private,24 hours daily,,,2024-02-12,,ELEC,Private,325252.0,LD,2019-01-01,SG,,E,OFFICE_BLDG,MassPort Logan Office Center Garage - 1st Floor,,2024-02-12T21:24:44Z,GPS,Boston,US,,,MA,1 Harborside Dr,2128.0,,,,,,,,,,,,"[""J1772""]",,,22.0,ChargePoint Network,http://www.chargepoint.com/,,,,-1.0,,,,,,,,,,,,,,,,,AFDC
3169,239005.991400003,902956.379000001,3170,public,24 hours daily,,,2024-02-12,,ELEC,Public,325253.0,LD,2019-01-01,SG,0,E,AIRPORT,MassPort Economy Garage - 2nd Floor,,2024-02-12T21:24:44Z,GPS,Boston,US,Terminal B Garage - 2nd Floor,,MA,1 Harborside Dr,2128.0,,,,,,,,,,,,"[""J1772""]",,,10.0,ChargePoint Network,http://www.chargepoint.com/,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3170,239665.520599999,901408.2667,3171,public,24 hours daily,,,2024-02-12,,ELEC,Public,325254.0,LD,2019-01-01,SG,0,E,AIRPORT,MassPort Terminal B Garage,,2024-02-12T21:24:44Z,GPS,Boston,US,,,MA,1 Harborside Dr,2128.0,,,,,,,,,,,,"[""J1772""]",,,10.0,ChargePoint Network,http://www.chargepoint.com/,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3171,239388.454899997,901957.929499999,3172,public,24 hours daily,,,2024-02-12,,ELEC,Public,325255.0,LD,2020-01-01,SG,0,E,AIRPORT,MassPort West Garage,,2024-02-12T21:24:44Z,GPS,Boston,US,,,MA,1 Harborside Dr,2128.0,,,,,,,,,,,,"[""J1772""]",,,30.0,ChargePoint Network,http://www.chargepoint.com/,,,,0.0,,,,,,,,,,,,,,,,,AFDC
3173,239402.426899999,901672.716499999,3174,public,24 hours daily,,,2024-02-12,,ELEC,Public,325257.0,LD,2018-01-01,SG,0,E,PARKING_LOT,MassPort Logan Airport Facilities Lot 3,,2024-02-12T21:24:44Z,200-8,Boston,US,,,MA,1 Harborside Dr,2128.0,,,,,,,,,,,,"[""J1772""]",,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,0.0,,,,,,,,,,,,,,,,,AFDC
