AGENCY,STATION NAME,TYPE OF CHARGER,NO. OF PLUGS,ADDRESS,CITY,POSTCODE,BOROUGH,PUBLIC CHARGER?,FEE FOR CITY DRIVERS,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
DOT,DOT Flo 13th St,L2 DOT Flo Curbside Charger,2,"13th Street: 5th Avenue, 4th Avenue",Brooklyn,11215.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 225th St,L2 DOT Flo Curbside Charger,2,"225th Street: Merrick Boulevard, 135th Avenue",Queens,14413.0,Queens,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 30th Place,L2 DOT Flo Curbside Charger,6,30th Pl between Thomson Ave and 47th Ave,Queens,11101.0,Queens,,$1.85/hour,,,,,,,,
DOT,DOT Flo 33rd St,L2 DOT Flo Curbside Charger,2,"33rd Street: 31st Avenue, Broadway",Queens,11106.0,Queens,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 35th St,L2 DOT Flo Curbside Charger,2,"35th Street: 30th Avenue, 28th Avenue",Queens,11103.0,Queens,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 38th St,L2 DOT Flo Curbside Charger,4,"38th Street: 36th Avenue, 35th Avenue",Queens,11101.0,Queens,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 3rd Ave,L2 DOT Flo Curbside Charger,6,"3rd Avenue: 33rd Street, 34th Street",Brooklyn,11232.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 41st Ave,L2 DOT Flo Curbside Charger,2,"41st Avenue: 81st Street, Baxter Avenue",Queens,11373.0,Queens,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 43rd St,L2 DOT Flo Curbside Charger,2,"43rd Street: 5th Avenue, 4th Avenue",Brooklyn,11232.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 72nd St,L2 DOT Flo Curbside Charger,2,"72nd Street: 37th Avenue, 35th Avenue",Queens,11372.0,Queens,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo 8th St,L2 DOT Flo Curbside Charger,2,"8th Street: 6th Avenue, 7th Avenue",Brooklyn,11215.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Bedford Park Blvd,L2 DOT Flo Curbside Charger,4,"Bedford Park Boulevard: Goulden Avenue, Paul Avenue",Bronx,10468.0,Bronx,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Broadway,L2 DOT Flo Curbside Charger,4,"Broadway: West 242nd Street, West 240th Street",Bronx,10471.0,Bronx,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Brooklyn Ave,L2 DOT Flo Curbside Charger,2,"Brooklyn Avenue: St. Marks Avenue, Prospect Place",Brooklyn,11213.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Clarkson Ave,L2 DOT Flo Curbside Charger,4,"Clarkson Avenue: 40th Street, Albany Avenue",Brooklyn,11203.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Court St,L2 DOT Flo Curbside Charger,2,"Court Street: 1st Place, Carroll Street",Brooklyn,11231.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Dekalb Ave,L2 DOT Flo Curbside Charger,2,"Dekalb Avenue: East Gun Hill Road, East 212th Street",Bronx,10467.0,Bronx,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo E 67th St,L2 DOT Flo Curbside Charger,2,"East 67th Street: York Avenue, 1st Avenue",Manhattan,10065.0,Manhattan,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo E 78th St,L2 DOT Flo Curbside Charger,2,"East 78th Street: Park Avenue, Lexington Avenue",Manhattan,10075.0,Manhattan,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo East End Ave,L2 DOT Flo Curbside Charger,2,"East End Ave: East 88th Street, East 87th Street",Manhattan,10128.0,Manhattan,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Elton St,L2 DOT Flo Curbside Charger,4,"Elton Street: Flatlands Avenue, Locke Street",Brooklyn,11207.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Fort Washington Ave,L2 DOT Flo Curbside Charger,2,"Fort Washington Avenue: West 164th Street, West 165th Street",Manhattan,10032.0,Manhattan,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Lenox Rd,L2 DOT Flo Curbside Charger,4,"Lenox Road: New York Avenue, East 34th Street",Brooklyn,11226.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Leonard St,L2 DOT Flo Curbside Charger,4,Leonard St between Lafayette and Centre Streets,Manhattan,10013.0,Manhattan,,$1.85/hour,,,,,,,,
DOT,DOT Flo Linden Blvd,L2 DOT Flo Curbside Charger,4,"Linden Boulevard: East 96th Street, Rockaway Parkway",Brooklyn,11212.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Marcus Garvey Blvd,L2 DOT Flo Curbside Charger,2,"Marcus Garvey Boulevard: Broadway, Park Avenue",Brooklyn,11206.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Mason Ave,L2 DOT Flo Curbside Charger,4,"Mason Avenue: Seaview, Delaware Avenue",Staten Island,10305.0,Staten Island,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Meeker Ave,L2 DOT Flo Curbside Charger,6,"Meeker Avenue: Metropolitan Avenue, Rodney Street",Brooklyn,11211.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo N 4th St,L2 DOT Flo Curbside Charger,4,"North 4th Street: Bedford Avenue, Berry Street",Brooklyn,11249.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Norman Ave,L2 DOT Flo Curbside Charger,4,"Norman Avenue: Dobbin Street, Guernsey Street",Brooklyn,11222.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Prospect Park W,L2 DOT Flo Curbside Charger,2,"Prospect Park West: 5th Street, 6th Street",Brooklyn,11215.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Putnam Pl,L2 DOT Flo Curbside Charger,2,"Putnam Place: East Gun Hill Rd., Reservoir Oval West",Bronx,10467.0,Bronx,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Queens Blvd,L2 DOT Flo Curbside Charger,4,"Queens Boulevard: 34th Street, 33rd Street",Queens,11101.0,Queens,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo Reade St,L2 DOT Flo Curbside Charger,2,Reade St between Elk and Lafayette Streets,Manhattan,10007.0,Manhattan,,$1.85/hour,,,,,,,,
DOT,DOT Flo Red Cross Place,L2 DOT Flo Curbside Charger,6,Red Cross Pl between Cadman Pl E and Bk Bridge Blvd/Adams St,Brooklyn,11201.0,Brooklyn,,$1.85/hour,,,,,,,,
DOT,DOT Flo Stuyvesant Ave,L2 DOT Flo Curbside Charger,2,"Stuyvesant Avenue: Fulton Street, Chauncey Street",Brooklyn,11233.0,Brooklyn,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo W 76th St,L2 DOT Flo Curbside Charger,2,"West 76th Street: Amsterdam Avenue, Columbus Avenue",Manhattan,10023.0,Manhattan,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo W 84th St,L2 DOT Flo Curbside Charger,2,"West 84th Street: Amsterdam Avenue, Columbus Avenue",Manhattan,10024.0,Manhattan,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
DOT,DOT Flo W 93rd St,L2 DOT Flo Curbside Charger,2,"West 93rd Street: Central Park West, Columbus Ave",Manhattan,10025.0,Manhattan,Yes,$2.50/hr + overnight dwell fee of $1/hr,,,,,,,,
